seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time,
3,False,100,False,True,True,dopri5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.67296,0.345777920780636,0.10329722781131,9.992364,13.165861,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,25.0689654350281,20.899448633194,0.851175308227539,1.9383544921875,tsit5 avg
0,False,100,False,True,True,tsit5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,88.427666,0.345847351671618,0.101815212858413,10.717432,13.714802,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,29.6795041561127,25.3179221153259,0.841128587722778,1.95427942276001,25.9520970582962
1,False,100,False,True,True,tsit5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.2956,0.345669058798213,0.102502958680686,9.755787,14.144188,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,28.7750101089478,24.099954366684,0.912426471710205,1.99119472503662,bosh5 avg
2,False,100,False,True,True,tsit5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.54717,0.343041500374814,0.100977653282276,10.208911,13.470751,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,29.1113502979279,24.2877597808838,0.939636468887329,1.95960068702698,28.3053975105286
3,False,100,False,True,True,tsit5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.67296,0.342950182393758,0.101484972313777,10.139349,12.861538,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,30.9526207447052,25.9689650535583,0.877159118652344,1.9771945476532,
0,False,100,False,True,True,bosh3,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,88.05031,0.347640397761744,0.101924914725341,11.083566,15.578186,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,34.9805600643158,29.4517090320587,0.864780187606812,2.21461462974548,
1,False,100,False,True,True,bosh3,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,86.79245,0.343472747740991,0.102035105284741,8.889602,14.547086,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,33.3148014545441,27.9364213943481,0.823824882507324,2.073073387146,
2,False,100,False,True,True,bosh3,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,87.42138,0.344071505125876,0.101694407490883,9.768439,12.0197115,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,33.4102065563202,27.897515296936,0.920030832290649,1.95549941062927,
3,False,100,False,True,True,bosh3,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,88.1761,0.343455779658684,0.101720784127022,10.628147,15.093338,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,34.6619853973389,29.0822558403015,0.799329280853272,1.98053216934204,
0,False,100,False,True,True,dopri5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.42138,0.34753344442365,0.103268551381689,10.260042,15.055591,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,32.4889285564423,20.1035990715027,1.40317320823669,3.52120780944824,"Pcoeff=0.3, icoeff=0.3, dcoeff=0.0"
1,False,100,False,True,True,dopri5,True,2000,85.78616,0.364801503676541,0.0994204026998473,7.2213984,33.67774,87.2956,0.345589160661497,0.101928978337077,9.835064,13.646973,57.735847,0.683535613873433,0.245208010621185,4.897821,4.897821,23.1549212932587,19.2227058410645,0.917985677719116,2.0110194683075,dopri5 avg
2,False,100,False,True,True,dopri5,True,2000,86.41509,0.415031246907746,0.102564610772323,7.591371,18.24968,88.1761,0.336975435316207,0.0991075372983406,10.334725,12.065172,53.710693,0.686262900489997,0.246588207427922,0.5725129,19.127237,23.6261546611786,19.2853012084961,1.09178447723389,1.99515247344971,20.9724022746086
3,False,100,False,True,True,dopri5,True,2000,86.79245,0.382821845147225,0.0950778601735752,6.189186,17.384996,87.92453,0.340195015438986,0.100683162976585,10.442641,15.58041,54.08805,0.693337238040645,0.250081208348644,1.2312934,10.738397,24.9842195510864,20.7535083293915,0.893396615982056,1.97942900657654,tsit5 avg
0,False,100,False,True,True,tsit5,True,2000,86.79245,0.450937139068673,0.106169163808924,8.257479,30.275726,87.79874,0.346243344950795,0.101976456705814,10.26034,16.197426,55.723267,0.689351439063093,0.248044490098364,1.142853,3.2296658,29.2109158039093,24.6280937194824,0.924021005630493,2.04044628143311,25.7881929278374
