seed,optimize_prior,batch_data,structure,subset,samples,linearized_pred,expmap_different_batches,test_all,save_fig,accuracy_MAP,nll_MAP,brier_MAP,ece_MAP,mce_MAP,accuracy_OURS,nll_OURS,brier_OURS,ece_OURS,mce_OURS,accuracy_LA,nll_LA,brier_LA,ece_LA,mce_LA,Total_time,Expmap_time,Laplace_time,NetworkTraining_time
143,True,False,full,all,100,False,False,False,True,87.29559748427673,0.35846424596226656,0.08939289716591807,tensor(5.2677),tensor(18.6656),87.04402515723271,0.28937335947844045,0.09004408879532069,tensor(5.4675),tensor(23.1404),57.9874213836478,0.6796605891026791,0.24332091318405363,tensor(2.9278),tensor(3.8473),987.9450261592865,974.1226127147675,0.005839109420776367,12.8191077709198
143,False,False,full,all,100,True,False,False,True,87.29559748427673,0.35846424596226656,0.08939289716591807,tensor(5.2677),tensor(18.6656),85.28301886792453,0.9610380974257473,0.11788903359457609,tensor(10.4888),tensor(23.9987),87.29559748427673,0.40889589846509056,0.12016310919808706,tensor(15.3949),tensor(19.7878),1931.6635222434998,1917.5120787620544,0.005817890167236328,12.873727560043335
143,False,False,full,all,100,False,False,False,True,87.29559748427673,0.35846424596226656,0.08939289716591807,tensor(5.2677),tensor(18.6656),86.79245283018868,0.2846246057125021,0.08825473188087174,tensor(1.8473),tensor(7.7258),55.59748427672956,0.6760344867436391,0.24156957468800916,tensor(1.4817),tensor(13.2777),977.1059634685516,963.6617710590363,0.0061681270599365234,12.612112283706665
755,True,False,full,all,100,True,False,False,True,88.17610062893083,0.32693597905338767,0.08987394760780928,tensor(5.4662),tensor(16.4157),88.17610062893083,0.34748748324680667,0.08952325215483936,tensor(5.0785),tensor(17.5654),87.67295597484276,0.31294174230417365,0.09103641343393831,tensor(5.2865),tensor(7.5255),1130.0730113983154,1115.8031463623047,0.006167173385620117,12.777900457382202
755,True,False,full,all,100,False,False,False,True,88.17610062893083,0.32693597905338767,0.08987394760780928,tensor(5.4662),tensor(16.4157),87.54716981132076,0.2902320819273196,0.0867458361047481,tensor(4.5478),tensor(11.4943),66.79245283018868,0.6667269039828823,0.2368551900261547,tensor(13.9547),tensor(28.9614),990.232105255127,976.4565982818604,0.006171703338623047,12.742506265640259
755,False,False,full,all,100,True,False,False,True,88.17610062893083,0.32693597905338767,0.08987394760780928,tensor(5.4662),tensor(16.4157),85.03144654088051,0.8805581010822573,0.11743846670362992,tensor(10.5964),tensor(26.6570),87.67295597484276,0.39300175669995496,0.11511568984444895,tensor(13.0548),tensor(18.7564),1936.0353486537933,1921.9650337696075,0.006297588348388672,12.79768705368042
755,False,False,full,all,100,False,False,False,True,88.17610062893083,0.32693597905338767,0.08987394760780928,tensor(5.4662),tensor(16.4157),87.42138364779875,0.2822347354018931,0.0880254337065863,tensor(1.0035),tensor(2.7949),53.58490566037736,0.6878288051617221,0.24734709191687343,tensor(0.3098),tensor(5.3063),1085.0763969421387,1071.427118062973,0.006228923797607422,12.80376648902893
105,True,False,full,all,100,True,False,False,True,86.9182389937107,0.3435884319740778,0.09231102330198765,tensor(5.6328),tensor(17.1948),87.54716981132076,0.3929086928772499,0.09448637449162714,tensor(5.6752),tensor(14.3026),87.04402515723271,0.33926038472860487,0.0987584480075335,tensor(6.6681),tensor(9.9672),1101.7845273017883,1087.444396018982,0.00620722770690918,12.867331743240356
105,True,False,full,all,100,False,False,False,True,86.9182389937107,0.3435884319740778,0.09231102330198765,tensor(5.6328),tensor(17.1948),87.29559748427673,0.2948699424414143,0.09017907898840902,tensor(4.2491),tensor(15.4010),54.088050314465406,0.6898513516540048,0.2483033622193474,tensor(2.8552),tensor(12.4747),936.9179701805115,923.0488576889038,0.006224870681762695,12.825703144073486
105,False,False,full,all,100,True,False,False,True,86.9182389937107,0.3435884319740778,0.09231102330198765,tensor(5.6328),tensor(17.1948),85.03144654088051,0.8392657947493879,0.11646255637353999,tensor(10.1828),tensor(35.5438),87.29559748427673,0.40672116757563825,0.11986804974782964,tensor(13.7146),tensor(17.1566),1916.2021198272705,1902.2335741519928,0.006304264068603516,12.70384693145752
105,False,False,full,all,100,False,False,False,True,86.9182389937107,0.3435884319740778,0.09231102330198765,tensor(5.6328),tensor(17.1948),87.54716981132076,0.29110100624624147,0.08931652863941815,tensor(0.6099),tensor(1.6634),54.9685534591195,0.6849597340859707,0.2459340731067064,tensor(0.2282),tensor(2.1103),957.9968218803406,944.3843243122101,0.0066661834716796875,12.768382787704468
