seed,optimize_prior,samples,linearized_pred,kfac,diffrax,solver,pcoeff,icoeff,savefig,epochs,accuracy_MAP,nll_MAP,brier_MAP,ece_map,mce_map,accuracy_posterior,nll_posterior,brier_posterior,ece_posterior,mce_posterior,accuracy_laplace,nll_laplace,brier_laplace,ece_laplace,mce_laplace,Total_time,Exmap_time,Laplace_time,NetworkTraining_time
4,False,100,False,False,True,bosh3,0.2,0.3,True,2000,86.28931,0.57855710347942,0.113791522379906,9.6567545,27.610434,87.42138,0.359063561877418,0.100692191335945,6.578831,15.456754,50.18868,0.696459139068649,0.251646340080021,2.5089145,2.5089145,370.394782543182,362.305249214172,1.11907720565796,2.01068353652954
5,False,100,False,False,True,bosh3,0.2,0.3,True,2000,86.28931,0.444357914970821,0.102975316516931,7.381802,18.795807,86.54088,0.3302212911293,0.0991283278874626,5.4523015,15.393132,53.96226,0.68708606396019,0.246946475752439,2.2778962,23.42747,571.287242174149,563.205350399017,0.773256540298462,2.12470293045044
6,False,100,False,False,True,bosh3,0.2,0.3,True,2000,87.04402,0.374678803551813,0.0970559630002234,7.9240904,28.59435,86.79245,0.332629772014613,0.0982205292888764,5.981525,19.492228,61.00629,0.678930646584106,0.242920488563115,7.7277074,7.7587547,551.1090695858,542.86200428009,0.877847671508789,2.05583381652832
7,False,100,False,False,True,bosh3,0.2,0.3,True,2000,86.54088,0.375502447857519,0.0993167501414034,7.5385423,25.82436,87.2956,0.338072934220652,0.0968428378279183,4.9608665,12.046021,52.07547,0.704637867669851,0.255649022076444,3.6137893,24.58246,520.406066656113,511.943717718124,0.904722929000855,2.00356268882751
8,False,100,False,False,True,bosh3,0.2,0.3,True,2000,86.666664,0.382535284141313,0.0983648318629062,7.358122,23.21313,87.42138,0.360570897274082,0.0986026933274793,6.534261,23.08275,49.43396,0.697946044026523,0.252370349030279,4.1654077,21.098228,453.741598367691,445.057966947556,0.966773509979248,2.03402805328369
9,False,100,False,False,True,bosh3,0.2,0.3,True,2000,86.037735,0.39436460573853,0.101135788049477,8.002257,26.90462,87.04402,0.387048163123956,0.101748745614686,6.7381525,17.889763,50.31446,0.691453143861821,0.249178509930215,5.995695,14.793772,446.589318990707,437.512912750244,1.00309038162231,2.00754284858704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,avg_expmap_time,avg_acc,avg_mce,avg_ece,,,,,,,,,,,,,,,,,,,,,,,,,
dopri5,269.927507281303,87.194968,9.90708951,2.56976334,,,,,,,,,,,,,,,,,,,,,,,,,
tsit5,478.5049046278,86.8427638,16.9369122,5.20359665,,,,,,,,,,,,,,,,,,,,,,,,,
bosh3,490.631860089302,86.930815,16.6353097,5.84982828,,,,,,,,,,,,,,,,,,,,,,,,,
